gtex_tissue,cell_id,notes
Adipose_Subcutaneous,,
Adipose_Visceral_Omentum,,
Adrenal_Gland,,
Artery_Aorta,,
Artery_Coronary,,
Artery_Tibial,,
Brain_Amygdala,,
Brain_Anterior_cingulate_cortex_BA24,,
Brain_Caudate_basal_ganglia,,
Brain_Cerebellar_Hemisphere,,
Brain_Cerebellum,E007,"Adult NPCs are found in two discrete regions: the subventricular zone (SVZ), and the dentate gyrus (DG) of the hippocampus (https://doi.org/10.1038%2Faps.2012.107)"
Brain_Cortex,,
Brain_Frontal_Cortex_BA9,,
Brain_Hippocampus,E007,"Adult NPCs are found in two discrete regions: the subventricular zone (SVZ), and the dentate gyrus (DG) of the hippocampus (https://doi.org/10.1038%2Faps.2012.107)"
Brain_Hypothalamus,,
Brain_Nucleus_accumbens_basal_ganglia,,
Brain_Putamen_basal_ganglia,,
Brain_Spinal_cord_cervical_c-1,,
Brain_Substantia_nigra,,
Breast_Mammary_Tissue,,
Cells_Cultured_fibroblasts,,
Cells_EBV-transformed_lymphocytes,E116,
Colon_Sigmoid,,
Colon_Transverse,,
Esophagus_Gastroesophageal_Junction,,
Esophagus_Mucosa,,
Esophagus_Muscularis,,
Heart_Atrial_Appendage,,
Heart_Left_Ventricle,,
Kidney_Cortex,,
Liver,E066,
Liver,E118,cancer cell
Lung,E114,cancer cell
Minor_Salivary_Gland,,
Muscle_Skeletal,,
Nerve_Tibial,,
Ovary,,
Pancreas,E087,
Pituitary,,
Prostate,,
Skin_Not_Sun_Exposed_Suprapubic,,
Skin_Sun_Exposed_Lower_leg,,
Small_Intestine_Terminal_Ileum,,
Spleen,,
Stomach,,
Testis,,
Thyroid,,
Uterus,,
Vagina,,
Whole_Blood,,